input_id	dealiased_id	standard_id	short_id
url:https://www.kennedykrieger.org/sites/default/files/library/documents/research/center-labs-cores/bioinformatics/bioinformatics-def.pdf	url:https://www.kennedykrieger.org/sites/default/files/library/documents/research/center-labs-cores/bioinformatics/bioinformatics-def.pdf	url:https://www.kennedykrieger.org/sites/default/files/library/documents/research/center-labs-cores/bioinformatics/bioinformatics-def.pdf	Xcr0K7I5
pmid:11552348	pmid:11552348	pubmed:11552348	jn2NeK3H
doi:10.1371/journal.pcbi.1005510	doi:10.1371/journal.pcbi.1005510	doi:10.1371/journal.pcbi.1005510	k9JCaCug
doi:10.1093/gigascience/giz054	doi:10.1093/gigascience/giz054	doi:10.1093/gigascience/giz054	15pOpsdFR
doi:10.1038/nbt.2740	doi:10.1038/nbt.2740	doi:10.1038/nbt.2740	SGTWzj9t
doi:10.1371/journal.pcbi.1004947	doi:10.1371/journal.pcbi.1004947	doi:10.1371/journal.pcbi.1004947	kEX5dgzK
arxiv:1810.08055v1	arxiv:1810.08055v1	arxiv:1810.08055v1	eYWjWdLd
doi:10.1101/2020.06.30.178673	doi:10.1101/2020.06.30.178673	doi:10.1101/2020.06.30.178673	1HhbGD4jJ
doi:10.1016/j.cels.2017.08.003	doi:10.1016/j.cels.2017.08.003	doi:10.1016/j.cels.2017.08.003	16iU4PKI1
https://www.kaggle.com/kaggle/kaggle-survey-2018	https://www.kaggle.com/kaggle/kaggle-survey-2018	url:https://www.kaggle.com/kaggle/kaggle-survey-2018	lkZcKu7R
http://www.modulecounts.com	http://www.modulecounts.com	url:http://www.modulecounts.com	1A4rxBI47
doi:10.1038/d41586-020-03382-2	doi:10.1038/d41586-020-03382-2	doi:10.1038/d41586-020-03382-2	wu0sr8q2
https://drivendata.github.io/cookiecutter-data-science	https://drivendata.github.io/cookiecutter-data-science	url:https://drivendata.github.io/cookiecutter-data-science	j6HfMqoR
https://github.com/Reproducible-Science-Curriculum/rr-init	https://github.com/Reproducible-Science-Curriculum/rr-init	url:https://github.com/Reproducible-Science-Curriculum/rr-init	7D5DgTkH
doi:10.1371/journal.pcbi.1000424	doi:10.1371/journal.pcbi.1000424	doi:10.1371/journal.pcbi.1000424	3Gx1ESE4
https://snakemake.readthedocs.io/en/stable/snakefiles/deployment.html	https://snakemake.readthedocs.io/en/stable/snakefiles/deployment.html	url:https://snakemake.readthedocs.io/en/stable/snakefiles/deployment.html	jq4WP878
https://github.com/google/styleguide	https://github.com/google/styleguide	url:https://github.com/google/styleguide	4PJ4Kllx
https://www.python.org/dev/peps/pep-0008	https://www.python.org/dev/peps/pep-0008	url:https://www.python.org/dev/peps/pep-0008	1D76el83m
https://github.com	https://github.com	url:https://github.com	dmEZPbB4
https://gitlab.com	https://gitlab.com	url:https://gitlab.com	16Oz9VFEk
https://bitbucket.org	https://bitbucket.org	url:https://bitbucket.org	1E58VA9bS
https://guides.github.com/introduction/flow	https://guides.github.com/introduction/flow	url:https://guides.github.com/introduction/flow	qjg93S3G
https://docs.pytest.org/en/stable	https://docs.pytest.org/en/stable	url:https://docs.pytest.org/en/stable	15kUlshEi
https://about.codecov.io	https://about.codecov.io	url:https://about.codecov.io	cEpTMlZc
https://tox.readthedocs.io/en/latest	https://tox.readthedocs.io/en/latest	url:https://tox.readthedocs.io/en/latest	1Bi82XR9D
https://travis-ci.com	https://travis-ci.com	url:https://travis-ci.com	SM1pqdjN
https://github.com/features/actions	https://github.com/features/actions	url:https://github.com/features/actions	NUXbp429
https://docs.github.com/en/github/collaborating-with-issues-and-pull-requests/reviewing-changes-in-pull-requests	https://docs.github.com/en/github/collaborating-with-issues-and-pull-requests/reviewing-changes-in-pull-requests	url:https://docs.github.com/en/github/collaborating-with-issues-and-pull-requests/reviewing-changes-in-pull-requests	RCh2gb01
https://www.atlassian.com/software/crucible	https://www.atlassian.com/software/crucible	url:https://www.atlassian.com/software/crucible	6woNTKZi
https://www.jetbrains.com/upsource	https://www.jetbrains.com/upsource	url:https://www.jetbrains.com/upsource	LJc9aT8R
doi:10.1038/sdata.2016.18	doi:10.1038/sdata.2016.18	doi:10.1038/sdata.2016.18	6DjakjNS
doi:10.18637/jss.v059.i10	doi:10.18637/jss.v059.i10	doi:10.18637/jss.v059.i10	Gtnr8c2U
https://dvc.org	https://dvc.org	url:https://dvc.org	JkrlcwLO
https://nbviewer.jupyter.org	https://nbviewer.jupyter.org	url:https://nbviewer.jupyter.org	8Cn0lgXi
https://mybinder.org	https://mybinder.org	url:https://mybinder.org	1dqfprG7
https://colab.research.google.com	https://colab.research.google.com	url:https://colab.research.google.com	mr26BIpF
https://www.reviewnb.com	https://www.reviewnb.com	url:https://www.reviewnb.com	12ovVgVju
https://workflowhub.eu	https://workflowhub.eu	url:https://workflowhub.eu	6YE0Zqqy
https://www.google.com/docs/about	https://www.google.com/docs/about	url:https://www.google.com/docs/about	18tOsSTai
https://www.microsoft.com/en-us/microsoft-365	https://www.microsoft.com/en-us/microsoft-365	url:https://www.microsoft.com/en-us/microsoft-365	sP8f9fNq
https://www.authorea.com	https://www.authorea.com	url:https://www.authorea.com	UeFHiqcp
https://www.overleaf.com	https://www.overleaf.com	url:https://www.overleaf.com	J12A3elW
https://manubot.org	https://manubot.org	url:https://manubot.org	petulEc2
https://cli.github.com	https://cli.github.com	url:https://cli.github.com	uRbOUixg
https://docs.github.com/en/github/managing-your-work-on-github/about-issues	https://docs.github.com/en/github/managing-your-work-on-github/about-issues	url:https://docs.github.com/en/github/managing-your-work-on-github/about-issues	jIIrCDT3
https://testthat.r-lib.org	https://testthat.r-lib.org	url:https://testthat.r-lib.org	E7mOdOEw
https://flake8.pycqa.org/en/latest	https://flake8.pycqa.org/en/latest	url:https://flake8.pycqa.org/en/latest	ZNYSO1m0
https://pyup.io/safety	https://pyup.io/safety	url:https://pyup.io/safety	iFiB8Hir
https://circleci.com	https://circleci.com	url:https://circleci.com	T03Api6e
